id,group_id,group_is_high_risk,group_size,group_black_ratio,group_grey_ratio,group_risk_mean,group_risk_max,acct_id,acct_label_raw,acct_risk_level,acct_risk_level_name,acct_risk_score,acct_is_black,acct_is_grey,acct_is_core,role,txn_out_cnt,txn_in_cnt,txn_out_sum,txn_in_sum,txn_net_out_amt,txn_out_in_ratio,graph_pr,graph_in_deg,graph_out_deg,graph_weighted_out_deg
36067,1684,False,13.0,0.0,0.1538461538461538,0.455028347482954,0.6533849362898483,79694a05e736fd0fc5e29d3cd9be869e6900487d9d1fd0837460939244730536,无关,0,safe,0.4701728183843658,False,False,False,normal,0.0,3.0,0.0,7500.0,-7500.0,0.0001333155579256,6.856236519181987e-05,1,0,0.0
36077,764,False,2.0,0.0,0.0,0.208106228648092,0.2557632418862223,38b3d0fd3bd299aae414395c02cf57fc65c11b95c73c84f871c33ab911a02fb9,无关,0,safe,0.2557632418862223,False,False,False,normal,6.0,1.0,8304.45,1300.0,7004.450000000001,6.383897002305919,0.000360446027931,1,1,14374.0
36083,1744,False,2.0,0.0,0.0,0.1836115246614058,0.2371290866251226,a1b6144a3e08555af99aa877d23c283a7f98533edf0351eea3384a045fc8592c,无关,0,safe,0.2371290866251226,False,False,False,normal,2.0,0.0,1007.3,0.0,1007.3,1008.3,5.4525316681734015e-05,0,1,2014.6
36084,1744,False,2.0,0.0,0.0,0.1836115246614058,0.2371290866251226,dc9a35ba573fdff6bf1f70afc0b2c5efe162c0264ad9aa4c1fa3a1261ff0ad4d,无关,0,safe,0.130093962697689,False,False,False,normal,25.0,2.0,79102.06,1007.3,78094.76,78.45190915402162,0.0001009390148071,1,0,0.0
36101,804,False,2.0,0.0,0.0,0.4110137137166031,0.5260562307761771,3cd9c91aa5de3d51adbe7b39400bf4493f760ac052e9b5adf5b466010329a4c1,无关,0,safe,0.2959711966570291,False,False,False,normal,10.0,0.0,60450.01,0.0,60450.01,60451.01,5.4525316681734015e-05,0,1,120900.02
36116,191,False,7.0,0.0,0.0,0.4865759424308006,0.6235554509654452,1e28799b7cecfc47eb72a570e69e670f11bddc958474444ef9996778db116f05,无关,0,safe,0.2360828914525132,False,False,False,normal,2.0,0.0,60000.0,0.0,60000.0,60001.0,5.4525316681734015e-05,0,2,120000.0
36141,1992,False,2.0,0.0,0.0,0.3469545753565946,0.4348123515655747,c0976678e9b4a47f98ce8980fe25b770471b6d6ef9c207c765d462c67b6ac320,无关,0,safe,0.4348123515655747,False,False,False,normal,3.0,0.0,330000.0,0.0,330000.0,330001.0,5.4525316681734015e-05,0,1,640000.0
36142,1427,False,2.0,0.0,0.0,0.3627074464508728,0.5932777570825634,7b8f46a58182309d265bc3c2beb688ae8e262281202b876124b0c7585d26da89,无关,0,safe,0.5932777570825634,False,False,False,normal,1.0,0.0,20000.0,0.0,20000.0,20001.0,5.4525316681734015e-05,0,1,40000.0
36166,318,False,5.0,0.0,0.0,0.3039545707246683,0.4509066976697604,9c90742ca215518c4f21394a08e32c62d7d6a2993bbb1fe1a01c06e8514067f1,无关,0,safe,0.2330767083556021,False,False,False,normal,2.0,1.0,2700.0,1300.0,1400.0,2.076095311299001,6.855736495219509e-05,1,0,0.0
36200,1770,False,2.0,0.0,0.0,0.2337592958097333,0.2769810133332563,a4b0eeaf10f491e650fc4854a058799f411dd4975907790497b624c8c3805d73,无关,0,safe,0.2769810133332563,False,False,False,normal,22.0,0.0,50500.0,0.0,50500.0,50501.0,5.4525316681734015e-05,0,1,21000.0
36206,848,False,2.0,0.0,0.0,0.2926920628807938,0.3525310678577592,4156f601649a30012ebdd3cc75cae65b6bf37d87f2811780c9e255a5b4da1584,无关,0,safe,0.2328530579038285,False,False,False,normal,8.0,1.0,103000.0,102978.0,22.0,1.0002136357898213,0.000360446027931,1,1,108000.0
36263,337,False,3.0,0.0,0.0,0.211816882863882,0.2250626800545286,d347723eea2afdc206597cb1c1fc3046a2402841bb1f338169c444d9a5c30aef,无关,0,safe,0.2250626800545286,False,False,False,normal,1.0,1.0,367.26,5221.0,-4853.74,0.070520873228648,0.000360446027931,1,1,734.52
36268,50,False,5.0,0.0,0.0,0.457391326900227,0.5827646826645563,02cc3249c1e5a91c531be3a763dd4dd9046762cd9b24d5a218771267fb070843,无关,0,safe,0.4458817265707369,False,False,False,normal,11.0,20.0,2801345.76,2909896.41,-108550.65000000036,0.9626960560097544,0.0006315707543791,3,2,5582691.52
36269,253,False,2.0,0.0,0.0,0.1612387507621386,0.2292849496422382,30c9b56d1626c529db20d1d58a666c1b24e74f3b62e4dd59f9b7614f75be0620,无关,0,safe,0.0931925518820389,False,False,False,normal,26.0,4.0,752.34,7200.0,-6447.66,0.1046160255520066,0.0001009390148071,1,0,0.0
36291,1037,False,4.0,0.0,0.0,0.1317504671932822,0.3229238989796991,517545f9f3143e7de0ccf269207c6edd7a94e7ef300d39f65e53a98eb7c5b6c9,无关,0,safe,0.0468105991007528,False,False,False,normal,1.0,0.0,2027.0,0.0,2027.0,2028.0,5.4525316681734015e-05,0,1,4054.0
36318,2183,False,2.0,0.0,0.0,0.275805873417153,0.3726314819917862,8ac69444e3588fd7efb0582d5bc251bc0f2517f9b4b3d8e10a9885e165f0c873,无关,0,safe,0.1789802648425199,False,False,False,normal,434.0,75.0,70178.65,6230.59,63948.06,11.26191710301865,0.0001009390148071,1,0,0.0
36342,161,False,2.0,0.0,0.0,0.1221399873827678,0.1554857915825726,df6c696df5bb62af3955b6e863f1cefd384c3ad55917bf046174638d8ccb3610,无关,0,safe,0.088794183182963,False,False,False,normal,7.0,3.0,7160.0,1000.0,6160.0,7.153846153846154,0.0001009390148071,1,0,0.0
36343,814,False,4.0,0.0,0.5,0.4376534012078834,0.5443963989733245,514278ded4725d736b797672961d679ae0ec5a5e7840a6751809e4731388b5ee,无关,0,safe,0.4015158905311278,False,False,False,normal,1.0,17.0,6000.0,87800.0,-81800.0,0.0683477409141126,0.0001694906037483,1,0,0.0
